title,episodes,score
Haikyuu!! Second Season,25.0,8.82
Shigatsu wa Kimi no Uso,22.0,8.83
Made in Abyss,13.0,8.83
Fullmetal Alchemist: Brotherhood,64.0,9.23
Kizumonogatari III: Reiketsu-hen,1.0,8.83
Mob Psycho 100 II,13.0,8.89
Sen to Chihiro no Kamikakushi,1.0,8.9
Kimetsu no Yaiba,26.0,8.92
Owarimonogatari 2nd Season,7.0,8.93
Code Geass: Hangyaku no Lelouch R2,25.0,8.93
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,10.0,8.94
Gintama.,12.0,8.94
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,1.0,8.95
Gintama,201.0,8.97
Clannad: After Story,24.0,8.97
Gintama': Enchousen,13.0,8.98
One Punch Man,12.0,8.68
Natsume Yuujinchou Roku,11.0,8.68
Yakusoku no Neverland,12.0,8.69
Natsume Yuujinchou Shi,13.0,8.69
Monster,74.0,8.69
Hajime no Ippo: New Challenger,26.0,8.69
Tengen Toppa Gurren Lagann,27.0,8.7
Ookami Kodomo no Ame to Yuki,1.0,8.7
Mushishi,26.0,8.71
Howl no Ugoku Shiro,1.0,8.71
Great Teacher Onizuka,43.0,8.71
Mushishi Zoku Shou,10.0,8.72
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,39.0,8.73
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,1.0,8.74
Gintama.: Shirogane no Tamashii-hen,12.0,8.74
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,4.0,8.75
Mushishi Zoku Shou 2nd Season,10.0,8.76
Monogatari Series: Second Season,26.0,8.76
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,14.0,8.76
Code Geass: Hangyaku no Lelouch,25.0,8.76
Vinland Saga,24.0,8.78
Hajime no Ippo,75.0,8.77
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,12.0,8.78
Mononoke Hime,1.0,8.77
Cowboy Bebop,26.0,8.81
Koe no Katachi,1.0,9.01
3-gatsu no Lion 2nd Season,22.0,9.02
Ginga Eiyuu Densetsu,110.0,9.03
Gintama',51.0,9.04
Gintama°,51.0,9.05
Shingeki no Kyojin Season 3 Part 2,10.0,9.07
Kimi no Na wa.,1.0,9.09
Hunter x Hunter (2011),148.0,9.11
Steins;Gate,24.0,9.11
Haikyuu!! Second Season,25.0,8.82
Shigatsu wa Kimi no Uso,22.0,8.83
Made in Abyss,13.0,8.83
Fullmetal Alchemist: Brotherhood,64.0,9.23
Kizumonogatari III: Reiketsu-hen,1.0,8.83
Mob Psycho 100 II,13.0,8.89
Sen to Chihiro no Kamikakushi,1.0,8.9
Kimetsu no Yaiba,26.0,8.92
Owarimonogatari 2nd Season,7.0,8.93
Code Geass: Hangyaku no Lelouch R2,25.0,8.93
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,10.0,8.94
Gintama.,12.0,8.94
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,1.0,8.95
Gintama,201.0,8.97
Clannad: After Story,24.0,8.97
Gintama': Enchousen,13.0,8.98
One Punch Man,12.0,8.68
Natsume Yuujinchou Roku,11.0,8.68
Yakusoku no Neverland,12.0,8.69
Natsume Yuujinchou Shi,13.0,8.69
Monster,74.0,8.69
Hajime no Ippo: New Challenger,26.0,8.69
Tengen Toppa Gurren Lagann,27.0,8.7
Ookami Kodomo no Ame to Yuki,1.0,8.7
Mushishi,26.0,8.71
Howl no Ugoku Shiro,1.0,8.71
Great Teacher Onizuka,43.0,8.71
Mushishi Zoku Shou,10.0,8.72
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,39.0,8.73
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,1.0,8.74
Gintama.: Shirogane no Tamashii-hen,12.0,8.74
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,4.0,8.75
Mushishi Zoku Shou 2nd Season,10.0,8.76
Monogatari Series: Second Season,26.0,8.76
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,14.0,8.76
Code Geass: Hangyaku no Lelouch,25.0,8.76
Vinland Saga,24.0,8.78
Hajime no Ippo,75.0,8.77
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,12.0,8.78
Mononoke Hime,1.0,8.77
Cowboy Bebop,26.0,8.81
Koe no Katachi,1.0,9.01
3-gatsu no Lion 2nd Season,22.0,9.02
Ginga Eiyuu Densetsu,110.0,9.03
Gintama',51.0,9.04
Gintama°,51.0,9.05
Shingeki no Kyojin Season 3 Part 2,10.0,9.07
Kimi no Na wa.,1.0,9.09
Hunter x Hunter (2011),148.0,9.11
Steins;Gate,24.0,9.11
